timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582580813.489897,38.5,18.0,18.210532993078232,979.7653176716728,281.32407358785025,"(-0.09, -0.5, 9.41)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.004363323129985824, 0.001090830782496456)","(-0.04, 0.01, -0.39)","(35.5625, -28.375, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8917280842298008,13432.97457718025,17.98066670000918
1582580818.955555,38.3,18.7,18.210532993078232,979.7943589633455,281.83789095601895,"(-0.1, -0.49, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.002181661564992912, 0.002181661564992912, 0.0)","(-0.03, 0.01, -0.4)","(34.875, -27.25, -67.5625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8981734950789653,13432.97457718025,17.98066670000918
1582580824.42212,38.5,18.6,18.214978103991598,979.8441041223751,281.9976803622053,"(-0.09, -0.5, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.0, -0.001090830782496456)","(-0.03, 0.01, -0.38)","(34.875, -27.0, -67.1875)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8885053788052186,13432.97457718025,17.98066670000918
1582580829.887444,38.7,18.0,18.210532993078232,979.8834973952617,281.41258322074214,"(-0.08, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.002181661564992912, 0.002181661564992912, 0.002181661564992912)","(-0.04, 0.03, -0.39)","(35.5625, -28.375, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8885053788052186,13379.472726624097,18.075820616816998
1582580835.352763,38.5,18.1,18.210532993078232,979.8441041223751,281.41258322074214,"(-0.07, -0.5, 9.4)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.002181661564992912, 0.0, -0.001090830782496456)","(-0.03, 0.01, -0.43)","(35.25, -27.6875, -67.1875)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8917280842298008,13486.721857864746,17.885507209841705
1582580840.817498,38.5,18.3,18.206087877508253,979.852439287007,282.4230081900704,"(-0.11, -0.51, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.004363323129985824, 0.0)","(-0.02, 0.0, -0.4)","(35.25, -26.5625, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8949507896543831,13379.472726624097,18.075820616816998
1582580846.282627,38.7,18.4,18.197197632398456,979.7633031211409,281.00455670365426,"(-0.1, -0.52, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.001090830782496456, -0.001090830782496456)","(-0.03, 0.0, -0.39)","(34.5, -27.25, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8917280842298008,13486.721857864746,17.885507209841705
1582580851.748394,38.8,18.5,18.18830736866221,979.8711251868174,282.1034265745585,"(-0.09, -0.51, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, -0.00545415391248228, 0.0)","(-0.04, 0.0, -0.41000000000000003)","(34.875, -28.0625, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8917280842298008,13432.97457718025,17.98066670000918
1582580857.213825,38.6,18.4,18.19275250285864,979.7135598600078,282.1034265745585,"(-0.09, -0.54, 9.43)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.00545415391248228, 0.002181661564992912)","(-0.04, 0.0, -0.39)","(34.875, -27.6875, -65.25)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8917280842298008,13432.97457718025,17.98066670000918
1582580862.688204,38.3,17.0,18.18830736866221,979.8317338075801,281.7666305885807,"(-0.09, -0.49, 9.41)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.002181661564992912, -0.001090830782496456)","(-0.04, 0.0, -0.41000000000000003)","(34.5, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37440,1.8885053788052186,13486.721857864746,17.885507209841705
